_ helps Parish priests relax.,1
_ keeps me from prayer.,1
_ led me to _.,2
"_, a near occasion of sin.",1
"_, the number one reason for staying chaste.",1
_: the hit Catholic musical.,1
A Catholic's secret guilty pleasure.,1
A denied Gospel spoke about _.,1
A lesser-known Bible story is about _.,1
A nun's favorite thing about her order is _.,1
Ain't no party like a Catholic party because a Catholic party has _.,1
An EWTN Original Series: _.,1
And they'll know we are Christians by our _.,1
Another reason Saul was knocked off his horse on his way to Damascus.,1
Being Catholic is the best because of _.,1
Catechsism #2866 talks about _.,1
Catholic millenials are known for _.,1
Catholics are tired of talking about _ with non-Catholics.,1
Contemplating _ takes up a lot of my prayer time.,1
David's secret weapon to defeat Goliath was _.,1
Doubting Thomas wished he was known for _.,1
Every Catholic girl's dream.,1
I am guilty of _.,1
I got seven deadly sins but _ ain't one.,1
I hope my tithe goes to providing _ to the Church.,1
I saw visions of _ after _.,2
I will be canonized for _.,1
I would be the Patron Saint of _.,1
I would like _ for Christmas.,1
I'm a bad Catholic because of _.,1
"If I started an order, it would focus on _.",1
"In his youth, St. Augustine struggled with _.",1
Jesus performed the miracle of _ but it was never recorded.,1
Jesus specialized in _ before his public ministry.,1
Jesus would never be caught _.,1
"Lord, give me purity, just not _.",1
"Lord, I need _.",1
"Love is patient, love is kind, love is _.",1
Martin Luther just couldn't wrap his head around _.,1
"Mea Culpa, Father, I couldn't make it Mass because of _.",1
"Mel Gibson's newest movie is titled: ""_"".",1
Michelangelo's newest painting is titled _.,1
"My old, Catholic grandma is known for _.",1
NET Ministries uses _ to liven up their retreats.,1
"Next, on Catholic radio, we will be talking about _.",1
"On the 8th day, God created _.",1
Other things Abraham could have sacrificed.,1
Priests think about _ in their free time.,1
Records of _ are found in the Secret Vatican Archives.,1
Saints pray for people who struggle with _.,1
Seminarins talk about _ after class.,1
St. Nicholas brought _ to kids for Christmas for the first time.,1
"St. Patrick didn't just drive the snakes out of Ireland, he also drove out _.",1
The 11th commandment is about _.,1
The 1th plague: _.,1
The best pilgrimages offer _ to its pilgrims.,1
The Easter Vigil Mass is so long because of _.,1
The hills are alive with the sound of _.,1
The New Evangelizatiopn's greatest tool is _.,1
The newest Catholic podcast talks entirely about _.,1
The newest hit hymn to hit the Church is called _.,1
The next Council will be in response to _.,1
The next shrine will be built for _.,1
The pope is writing about _ right now.,1
The real reason for the Orthodox schism.,1
The stained glass window in the back of church is about _.,1
The topic of the next Paypal Encyclical.,1
The Youth Minister has a tattoo of _.,1
There will be _ in eternity.,1
Thing Jesus never spoke about.,1
We were taught about _ in Religious Ed as kids.,1
What Catholics are most known for to non-Catholics.,1
What did I bring back from Rome?,1
What is CS Lewis' next book about?,1
What is talked about at the pub?,1
What priests really want to talk about in the homilies.,1
What should I give up for Lent?,1
"When Jesus comes again, he will talk about _ first.",1
You know you're Catholic when you love talking about _.,1
You'll find this in Heaven.,1
Youth Ministers love talking about _.,1
