_ + _ makes me extra horny.,2
_ helps me achieve inner peace.,1
_ keeps me awake at night.,1
_ makes for good foreplay!,1
_ makes my mouth water!,1
_ tends to run in my family.,1
_ turns me on!,1
A first date with me would include _.,1
A fun outing with my dad always included _.,1
A night of decadence must include _.,1
A reality series based on my life would be titled _.,1
A typical family dinner would be incomplete without _.,1
"After work, I like to spend time decompressing with _.",1
All I want for Christmas is _.,1
All of my friends agree. I would be so much better if it were not for _.,1
"As a kid, I spent my hard earned allowance on _.",1
"As president, I would include a policy on _.",1
"At work, I've managed to get this far with only _.",1
"Before I go to sleep, I always think about _.",1
"Can you tell me how to get, how to get to _?",1
Everyday I dress up like _.,1
"Everyone agrees, my absolute best quality is _.",1
Everyone knows that I'm trustworthy because I have _.,1
"For my Craigslist ad, I wrote that you must be ok with _.",1
Good sex = _ + _.,2
I am a positive person and attract positive events to my life because,1
I am grateful for all my blessings especially _.,1
I am loved and loving. I deserve to receive _.,1
I am the master of _.,1
I base my sense of self worth on _.,1
I believe refugees have an innate human right to receive _.,1
I can prepare _ really well for _.,2
I can't possibly live without _.,1
I could never refuse _.,1
I donated $500 to support _ in Africa.,1
I have _ under my covers,1
I have a secret altar worshipping _.,1
I have been given a lifetime honorary membership to _ club.,1
I have trouble succeeding without _.,1
I just got fined for the improper use of _.,1
I like _ and I cannot lie.,1
I like long walks on the beach and _.,1
I lost my virginity to _.,1
I make all of my major life descisions based on _.,1
I spent all summer working on _.,1
I think that children are good for _.,1
I value _.,1
I want inner city children to all have _.,1
"I was a smart child. At 3, I already knew about _.",1
I'm good at connecting with people because I have _.,1
I’ve always dreamt of _.,1
"If I could study anything for a year, it would be _.",1
"If I get wasted, you can sober me up with _.",1
"In a threesome, I can always be counted on for _.",1
"In grade school, I excelled at _.",1
"In junior high, my favorite teacher taught me about _.",1
"In preschool, I made finger paintings of _.",1
"In terms of career development, I'm most focused on _.",1
"Instead of going out, I'm secretly posting reviews of _.",1
It is my belief that _ would improve racial relations worldwide.,1
"Last holiday, I brought back _.",1
"Last night, I dreamt about _.",1
Me + _ = _.,2
"My current relationship is working, thanks to _.",1
My earliest childhood memory is of _.,1
My first love was _.,1
My first sexual encounter involved _.,1
My greatest asset is _.,1
My greatest sexual fantasy involves _.,1
My main goal in life is _.,1
My million dollar idea combines _ with _.,2
My mom and dad told me about sex using _ for illustration.,1
My mom said that _ helps the medicine go down.,1
My mom stressed the importance of _.,1
My most significant contribution to this group is _.,1
My previous relationship didn't work out because of _.,1
My relationship with my mother could be best described as _.,1
My secret to good sex is _.,1
"Now that I'm more secure in my life, I take care of _.",1
"On a flight that's going down, I would hope to have _.",1
"On my deathbed, my last request will be _.",1
One workplace idea I successfully implemented was _.,1
People are always saying that I excel at _.,1
"Thankfully, illegal use of _ was expunged from my juvy record.",1
The best moment of my life had _ and _.,2
The hardest part of my life was when I was dealing with _.,1
The key to a successful marriage is _.,1
The most awkward moment of my life featured _ and _.,2
The most important responsibility of my last position was _.,1
The secret to my success at work is _.,1
The self help book I just bought is going to help me deal with _.,1
"To establish credibility within a team, I often use _.",1
"To me, wedding mean a lifetime of _.",1
"To strengthen my relationship, I need _.",1
"When I put my best foot forward, I remind people of _.",1
When I think about _ I touch myself.,1
"When I was a kid, I wanted to be _.",1
"When I'm feeling down, _ always cheers me up.",1
"When it comes to dealing with conflict, I often use _.",1
"When looking for a date, I always look for _.",1
"When you look deeply into my eyes, you see _.",1
