_ fixed the Church after the mess that was the 1970's.,1
_ gets me the most likes on Instagram.,1
Bishop Robert Barron is lit because of _.,1
I cannot support _ because of its support of _.,2
I want to travel the country to speak about _.,1
I will intercede for they who are _.,1
I'm a pretentious Catholic because of _.,1
My earlybird breakfast club discusses _.,1
My grandkids need _.,1
"My kid, Zedediah, always cries at church because of _.",1
"Please, just stop _.",1
The bake sale goes to support _.,1
