_ are out to get me.,1
_ bought 100 million rounds of ammunition last year because of _.,2
_ is covering up the zombification of the population of Kansas.,1
_ is getting rich smuggling _.,2
_ is merely a puppet of _.,2
_ is reporting to Putin right now.,1
_ is subverting the natural order with _.,2
_ is the tool of _ to reduce world population.,2
"_ puts tranquilizers in the canned beer, because of _.",2
_ tried to suppress this game!,1
_ will make you sterile.,1
87 % of _ believe in _.,2
98% of all _ fail safety testing.,1
Airport scanners are really looking for _.,1
California universities now offer a degree in _.,1
Computer dating services have brought together _ and _.,2
"Eat the rich, but spare _.",1
Flashing web pages force you to love _.,1
Fluoridation was the first step. Next in our water: _.,1
Fossil evidence shows that _ existed before humanity.,1
Half of all _ are below average.,1
Home schooling is a plot by _ for _.,2
How do you explain crop circles?,1
I am being followed by _.,1
I no longer believe in _.,1
"If we could eat _, we could end world hunger.",1
In my nightmares I'm being chased by _.,1
Join _ and help wipe out _!,2
Keep _ away from my _!,2
Money from state lotteries goes to _ to buy _.,2
My relatives won't shut up about _ at Thanksgiving.,1
My tinfoil hat blocks out _.,1
Nanotech! All it does is make _ smaller.,1
Next up: a wall to keep out _.,1
Nine out of ten dentists agree that _ causes cavities.,1
No one expects the _!,1
"Once you put your head under a hairdresser's helmet, your brain belongs to _.",1
One good thing about climate change -- it'll wipe out _.,1
Really! Vaccines are responsible for _!,1
"Thanks to _, everything tastes like _.",2
"Thanks to _, we are all hip deep in sheep dip.",1
The drones that deliver groceries today wil carry _ tomorrow.,1
The final protector of law and order wil be _.,1
The firefighters have secret orders to let _ burn.,1
The greatest force for destruction of the 21st century is _.,1
"The Mayan calendar predicts _, starting about 20 minutes ago.",1
The New World Order is really just _ on steroids.,1
The next big scandal will be _ gate.,1
The next travel ban will be aimed at _.,1
The secret agenda of the _ is _.,2
There's no gold in Fort Knox! It's full of _.,1
They're calling up the National Guard to deal with _.,1
They've discovered an exoplanet capable of supporting _.,1
"We can look forward, someday, to a kinder and gentler _.",1
We'd all be safer if _ would take their _ and go home.,2
What do the Illuminati use to influence your mind? _,1
What does the CIA want you NOT to think about? _,1
What is Donald Trump's endgame?,1
What is the best thing in life?,1
What stopped the NSA from building those prison camps in Oklahoma? _,1
What will defeat _? Only _.,2
What's in Area 51 besides airplanes?,1
What's in the Bermuda Triangle? _,1
What's on the black helicopters? _,1
What's the latest cargo on the secret military space shuttle?,1
What's under the bed RIGHT NOW? _,1
Who killed the Kennedys and why?,2
Who knows the secrets that Man was not meant to know? _ knows.,1
Whose subliminal messages are in the ads on TV?_,1
Within our borders are three million illegal agents of _!,1
