"_, it's even worse that a poopy diaper!",1
"_, there's a cream for that.",1
All I want for Christmas is _.,1
"At 8 months pregnant, mom should do (or have) a lot of _.",1
"Before 1 year of age, the baby should be careful to avoid _.",1
Dad seems to never notice _.,1
Dad shouldn't be playing with _ like a toy.,1
Grandma recommends _ to help with _.,2
How I got the baby to sleep.,1
I couldn't believe it when I learned about _.,1
I know my baby always looks forward to _.,1
I now look at _ differently.,1
I often regret not (having) _.,1
I should have learned more about _.,1
I'm always fashionable with _.,1
Mom fell asleep while dreaming of _.,1
My first thought when my water broke was _.,1
My friends question my decision about _.,1
My Mother-in-law won't stop bugging me about _.,1
Never tell an expectant father about _.,1
"Now that I have kids, my desire for _ has diminished.",1
"Now that my child is in day care, I think about _.",1
"Oh my, it's _!",1
Oops… I spent the baby's college fund on _.,1
Sometimes I long for _.,1
The best form of contraception is _.,1
The best thing about my partner is _.,1
The best way to avoid getting pregnant is _.,1
The thing I miss the most about life before children is _.,1
The thing the baby shower is missing is _.,1
"To celebrate _, tonight we are (having) _.",2
We're _!,1
What helps mom go to sleep?,1
What to expect when you're expecting.,1
What's that smell?,1
When I breastfeed I'm thinking of _.,1
Where do babies come from?,1
Why I feel nervous.,1
Why I'm always running late.,1
Why I'm so excited.,1
